"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000223779.6","ENSG00000223779.6",-0.500350761718229,0.606317949283793,0.0114276195733188,"178","43","1.64929968044199",0.544787273794907,0.0167090079144659,"ENSG00000223779",NA,NA
"ENSG00000171791.14","ENSG00000171791.14",0.507315598629991,1.66082687966856,0.0352328939736588,"28","193","0.602109715492782",0.525116105268777,0.0156105292824553,"ENSG00000171791","BCL2","BCL2 apoptosis regulator"
"ENSG00000284024.4","ENSG00000284024.4",-0.696117460735241,0.498517063371262,0.000815559556789494,"179","42","2.00594939165656",0.551086318261891,0.017251441596662,"ENSG00000284024","MSANTD7","Myb/SANT DNA binding domain containing 7"
"ENSG00000197381.16","ENSG00000197381.16",0.366284795528256,1.44236596354253,0.0189396869470315,"90","131","0.693305322834952",0.544813964661293,0.0219332475640936,"ENSG00000197381","ADARB1","adenosine deaminase RNA specific B1"
"ENSG00000252713.1","ENSG00000252713.1",-0.399528082768,0.670636456270167,0.0321875938577392,"42","179","1.49112084595226",0.530160679015641,0.0169307715059155,"ENSG00000252713","RNU6-1198P","RNA, U6 small nuclear 1198, pseudogene"
"ENSG00000156853.13","ENSG00000156853.13",-0.301451519190675,0.73974368885804,0.0477907076621962,"124","97","1.35181957624231",0.556691400202851,0.0217710352656892,"ENSG00000156853","ZNF689","zinc finger protein 689"
"ENSG00000138744.16","ENSG00000138744.16",0.554068251617657,1.74031868998202,0.0227619738257033,"32","189","0.574607401366432",0.538061175465756,0.0145331317890747,"ENSG00000138744","NAAA","N-acylethanolamine acid amidase"
"ENSG00000224121.1","ENSG00000224121.1",-0.309539594574838,0.733784716929468,0.0446148570283227,"87","134","1.36279753029542",0.528052100571185,0.0215696358628686,"ENSG00000224121",NA,NA
"ENSG00000140403.12","ENSG00000140403.12",0.651327775807394,1.91808592707063,0.0296834049335879,"24","197","0.521353076985051",0.53290983825335,0.0130259202304287,"ENSG00000140403","DNAJA4","DnaJ heat shock protein family (Hsp40) member A4"
"ENSG00000133316.15","ENSG00000133316.15",-0.832928446680841,0.434774207148246,0.00100801575984039,"191","30","2.30004444504462",0.526824320717451,0.0178928039800151,"ENSG00000133316","WDR74","WD repeat domain 74"
"ENSG00000158156.9","ENSG00000158156.9",0.962589904748721,2.61846928520477,0.0344558574089149,"14","207","0.381902512911011",0.522340255164683,0.0100191456027467,"ENSG00000158156","XKR8","XK related 8"
"ENSG00000259891.1","ENSG00000259891.1",-0.46927584265996,0.625455032179183,0.0341740054236888,"187","34","1.59883596509863",0.534324454171782,0.0151508479757519,"ENSG00000259891",NA,NA
"ENSG00000237738.1","ENSG00000237738.1",-0.613560904795734,0.541419489129931,0.037062163864195,"16","205","1.84699668201271",0.514226231783484,0.00948704089636512,"ENSG00000237738","RNF216-IT1","RNF216 intronic transcript 1"
"ENSG00000221518.1","ENSG00000221518.1",-0.696816380170819,0.498168761838238,0.0167874828294571,"16","205","2.00735187872882",0.525836758661186,0.0122264294930955,"ENSG00000221518","RNU6ATAC16P","RNA, U6atac small nuclear 16, pseudogene"
"ENSG00000137171.15","ENSG00000137171.15",-0.529509101403358,0.588893985964988,0.0027832996918325,"165","56","1.69809850980454",0.556904927133935,0.0189733310193292,"ENSG00000137171","KLC4","kinesin light chain 4"
"ENSG00000151834.16","ENSG00000151834.16",0.602982460335828,1.82756130943923,0.00808273392092871,"196","25","0.54717726559162",0.529199807825762,0.0144322986255929,"ENSG00000151834","GABRA2","gamma-aminobutyric acid type A receptor subunit alpha2"
"ENSG00000241990.5","ENSG00000241990.5",0.991671013023174,2.69573531964089,0.0182581487473865,"214","7","0.370956300017323",0.514092777451556,0.00797059343561521,"ENSG00000241990",NA,NA
"ENSG00000165113.13","ENSG00000165113.13",-0.330553002863472,0.718526276456272,0.0414388050734772,"60","161","1.39173755054852",0.551673517322372,0.0207620509441619,"ENSG00000165113","GKAP1","G kinase anchoring protein 1"
"ENSG00000273080.1","ENSG00000273080.1",-0.81989208661661,0.44047918554056,0.0372128750430933,"210","11","2.2702548334328",0.50357657609566,0.0132726639062638,"ENSG00000273080",NA,NA
"ENSG00000176593.8","ENSG00000176593.8",-0.508445323402017,0.601429881316771,0.00177542021296335,"142","79","1.66270421717424",0.56456520578658,0.0212050886161601,"ENSG00000176593","ZNF606-AS1","ZNF606 antisense RNA 1"
"ENSG00000263528.8","ENSG00000263528.8",0.59051034002305,1.80490929784895,0.0116801684305374,"28","193","0.554044461509382",0.542732077083222,0.0147171790670757,"ENSG00000263528","IKBKE","inhibitor of nuclear factor kappa B kinase subunit epsilon"
