"Model","Train_C_index","Test_C_index","Train_MAE","Test_MAE","Train_IBS","Test_IBS"
"Model1",0.6,0.71,10.14,11.98,0.099,0.126
"Model2",0.88,0.59,11.37,12.15,0.041,0.14
"Model3",0.88,0.62,8.97,11.55,0.039,0.134
"Model4",0.71,0.62,9.72,12.84,0.092,0.13
"Model5",0.73,0.7,9.6,11.96,0.089,0.12
