"coeff"
-0.013
-0.012
0.018
-0.139
0.067
-0.048
-0.033
0
0.002
-0.125
0.15
0.059
-0.166
0.014
-0.085
0.044
-0.019
0.037
0.048
0.167
0.126
0.085
0.001
0.003
0.012
0.01
0.023
-0.014
0.035
-0.012
0.059
0.016
0.034
-0.029
0.06
-0.009
0.07
-0.073
-0.034
-0.001
0.011
-0.046
0.001
-0.128
-0.11
0.092
0.072
0.012
0.008
0.032
-0.02
0.044
0.003
0.015
-0.044
-0.089
-0.416
-0.118
0.005
-0.018
0.038
0.036
-0.033
-0.08
0.141
0.216
-0.019
-0.024
-0.139
-0.03
0.032
0.037
-0.271
-0.13
0.057
-0.036
-0.276
-0.048
-0.021
0.002
-0.08
-0.06
-0.077
0.031
0.027
-0.029
0.016
-0.034
0.025
-0.007
-0.179
